question,answer
"あなたのお父さんの大好きな車はなんですか。（一語不要）
( your / like / favorite / is / father's / what  ) car?",What is your father's favorite car?
"ここで写真を撮らないでください。（一語不要）
( please / take / you / a / don't / picture ) here.",Please don't take a picture here.
"A:Does your sister like animals?
B: Yes. ( her / make / happy / very / animals ).",Animals makes her very happy.
"We (   ) that bird ""suzume"" in Japanese.
1 tell  2 talk  3 call  4 speak",3
"A: I want to know ( book / reading / what / is / he ) now.
B: A book about Japanese culture.",I want to know what he is reading now.
ぼくが昨日会った女の子は 4 か国語が話せます。,The girl ( that ) I met yesterday can speak four languages.
"彼は毎年夏に外国へ行きます。
He goes to a (   ) country every year.",foreign
あなたのお父さんはどれくらいそこ住んでいるのですか？,How long has your father lived there?
"A: ( find / interesting / did / anything / you ) in the shop?
B: Yes. I found an old cup.",Did you find anything interesting in the shop?
"My sister got up early (   )her homework.
1 do  2 did  3 doing  4 to do",4
"あなたは私のことを覚えていますか。－ええ、もちろんです。
Do you (   ) me? - Of course, I do.",remember
この本は中国でたくさんの人々に読まれています。,This book is read by many people in China.
"私はそのとき、その部屋で何も見ませんでした。
I saw (   ) in the room then.",nothing
"I'll go shopping tomorrow if the weather (   ) good.
1 is  2 was  3 be　4 will be",1
"A: ( English / me / you / teaching / thank / for ).
B: You're welcome.",Thank you for teaching me English.
"メアリーはそこで彼に会って驚きました。
Mary (   ) (   ) to see him there.",was / surprised
"ナオミは犬が好きではありません。そしてケンも犬が好きではありません。
Naomi doesn't like dogs, and Ken doesn't like dogs, (   ).",either
"A: ( look / for / the bus / waiting / those people ) tired.
B: Right. Buses often come late.",Those people waiting for the bus look tired.
"Do you know the girl (   ) the computer over there?
1 use  2 using  3 to use  4 was used",2
"The mountains (   ) from this room are very beautiful.
1see  2 sees  3 seeing  4 seen",4
"A: What is the name of the flower?
B: ( call / kiku / in / it / we ) Japanese.",We call it kiku in Japanese.
"今夜、彼女に電話をしてはどうですか。
(   ) (   ) you call her this evening?",Why / don't
"Do you know where (   ) last night?
1 does he go  2 did he go  3 he goes  4 he went",4
私は写真を撮ることに興味があるの。,I am interested in taking pictures.
ミルクを飲んでいる猫がタマです。(8語で）,The cat  that [ which] is drinking milk is Tama.
"兄と私は先週、とてもわくわくする映画を見ました。
My brother and I saw a very (   ) movie last week.",exciting
"You have not cleaned your room (   ).
1 just now  2 already  3 yesterday  4 yet",4
"あなたは何回そこに行ったことがあるの？
",How many times have you been there?
鎌倉は日本で最も古い町の一つだよ。,Kamakura is one of the oldest cities in Japan.
"This story was (   ) ten years ago.
1 write　2 wrote  3 written  4 writing",3
"私たちは森を抜けて湖にやってきました。
We went (   ) the forest and came to the lake.",through
"ケンは「ぼくは窓を割りませんでした。」と言っています。私たちみんなが彼を信じています。
Ken says, ""I didn't break the window,"" All of us (   ) him.",believe
"A: Is soccer popular in your class?
B: Yes, but ( as / it / not / popular / is ) as basketball.","Yes, but it is not as popular as basketball."
"Which do you like (   ), music or sports?
1 better  2 the best  3 well  4 the most",1
"A: Please ( me / to / play / teach / how ) the guitar.
B: Sure. I will.",Please teach me how to play the guitar.
"A: Do you think ( it / to / important / eat / is ) breakfast  every morning?
B: Yes. I think so.",Do you think it is important to eat breakfast every morning?
"The girl looks very happy (   ) a present from her friend.
1 get  2 gets  3 got  4 to get",4
"私は世界中を旅行したいと思っています。
I want to travel (   ) (   ) the world,",all / around
"A: Listen. ( by / a song / is / loved / this ) many people.
B: It's very beautiful.",This is a song loved by many people.
"向こうにいる少女たちは剣道の練習をしています。（一語不要）
(over / the girls / practice / are / there / practicing ) kendo.",The girls over there are practicing kendo.
"あなたが大好きな動物は犬ですか。（一語不要）
( like / is / favorite / a dog / your / animal )?",Is your favorite animal a dog?
"今回は私にとって二度目の北海道への旅行です。（一語不要）
( trip / is / second / this / two / my ) to Hokkaido.",This is my second trip to Hokkaido.
"今日は20人の生徒しかその授業に出席しませんでした。（一語不要）
Only ( came / didn't come / the class / students / to / twenty ) today.",Only twenty students came to the class today.
"When I was a child, the zoo looked (   ) a big forest to me.
1 after  2 for  3 at  4 like",4
"A: You can ( you're / the club / in / if / interested / join ) computers.
B: Thank you. I'll think about it.",You can join the club if you're interested in computers.
"What (   ) you so sad?
1 were  2 did  3 became  4 made",4
"A: ( your brother / to / I'm / my racket / give / going ).
B: Oh, you are kind!",I'm going to give your brother my racket.
あなたは昨日どのくらいそれを練習したの？,How long did you practice it yesterday?
"彼女は以前にその悲しい話を聞きました。
She (   ) the sad story before.",heard
あなたの家族はそれをもらってうれしいでしょう。,Your family will be happy to get  it.
"A: ( food / would / kind of / like / what / you ) ?
B: Well.... Japanese food, please.",What kind of food would you like ?
"A: ( jobs / should / own / we / our / have ) during the school festival.
B: OK. Let's talk about it together.",We should have our own jobs during the school festival.
"A: I think time ( anything / than / is / more / else / important ).
B: I agree.",I think time is more important than anything else.
"There is (   ) water in this bottle.
1 few  2 many  3 no  4 a few",3
"I have  (   ) to Kobe three times.
1 been  2 visited  3 seen  4 left",1
犬と歩いている男の子はだれ？,Who is the boy walking with the dog?
きみにぼくを手伝ってほしいんだ。,I want you to help me.
"彼は毎日数学を1時間勉強します。
He studies math for one (   ) every day.",hour
"私は両親の間に座りました。
I sat (   ) my parents.",between
"駅の前で会いましょうか。
Shall we meet (   ) (   ) of the station?",in front
"The writer wrote (   ) than five books last year.
1 better  2 best  3 more  4 most",3
"私は来年、海外に行きたいです。
I want to go (   ) next year.",abroad
私たちのクラスの生徒をどう思いますか。,What do you think about our class's students?
"A: Where did you go with Kumi?
B: She ( near / to / took / the lake / her / us ) uncle's house.",She took us to the lake near her uncle's house.
私はピアノを9歳のときから練習しているの。,I have practiced the piano since I was nine.
"A: ( the / there / what / in / are / animals ) zoo?
B: We can see a panda, some koalas, lions, and many others.",What animals are there in the zoo?
3週間前、母がぼくに早く起きるように言ったんだ。,My mother told me to get up early three weeks ago.
"私は料理が大好きです。例えばカレーパイやおもちを作ります。
I love cooking. (   ) (   ), I make curry pie and rice cakes.",For example
"A: Please tell me ( will / our / come / when / to / you ) house.
B: Sorry, I can't tell you now.",Please tell me when you will come to our house.
"A: Did you get anything for your birthday?
B: My father ( was / bought / which / a book / me / written ) in English.",My father bought me a book which was written in English.
"A: This is ( want / that / I / the boy / you / to ) meet.
B: Hello, I'm Ken. Nice to meet you.",This is the boy that I want you to meet.
"たくさんの良い本を読むことは私たちに必要です。
It's (   ) for us to read a lot of good books.",necessary
"アキは明日修学旅行で北海道を訪れる予定なので、彼女はとてもわくわくしています。
Aki is going to visit Hokkaido on a school trip tomorrow so she 's very (   ).",excited
ぼくはそのコンサートを楽しみにしている。,I'm looking forward to the concert.
"図書館は勉強したり本を読んだりするのに良い場所です。
A (   ) is a good place to study and read books.",library
"コウジは将来、オーストラリアに住みたいと思っています。
Koji hopes to live in Australia in the (   ).",future
"The museum has an old doll made (   ) a piece of rock.
1 by  2 in  3 into  4 of",4
"I lost my pen yesterday, so I want to buy (   ).
1 it  2 them  3 one  4 other",3
"This science book was (   ) hard for me to read.
1 no  2 enough  3 too  4 such",3
"The students decided (   ) an English song at their festival.
1 sing  2 singing  3 to sing  4 for singing",3
"Don't eat so much (   )!
1 chocolate  2 oranges  3 popatoes  4 cookies",1
私をそこに連れて行ってくれませんか。(5words),Can you take me there?
"Ken (    ) curry with his friends three weeks ago.
1. eat 　2. eats   3. ate 　4. is eating",3 ate
彼はときどきぼくにギターの弾き方を教えてくれる。,He sometimes teaches [ shows ] me how to play the guitar.
彼は先月、日本製の車を買いました。,He bought a car ( that was ) made in Japan last month.
"Do you know (   ) broke the window?
1 who  2 when  3 why  4 how",1
"A: Do you think ( important / keep / is / clean / the earth / it / to )?
B: Yes. I think so.",Do you think it is important to keep the earth clean?
"My uncle lives in a town (   ) a beautiful park.
1 which have  2 that has  3 who has  4 that is",2
"母は私に「冬にそのような冷たいジュ―スを飲んではいけません」と言いました。
My mother said to me, ""You must not drink (   ) cold juice in winter.",such
私はまだその本を読み終えていない。,I haven't finished reading the book yet.
"Please be quiet (   ) the baby is sleeping.
1 during  2 that  3 while  4 or",3
"私たちは5時まで図書館にいました。
We stayed in the library (   ) five.",till
"6月には何日雨が続きましたか。
How many days did the rain (   ) in June?",continue [ last ]
"久美は今ゆかたを着ているところです。
Kumi is (   ) (   ) a yukata now.",putting on
"A: Lisa and Mary are good tennis players.
B: Really? ( well / girl / tennis / which / as / plays ) as Kayo?",Which girl plays tennis as well as Kayo?
"A: Do you ( to / have / us / talk / time / with )?
B: Of course. Let's sit down here.",Do you have time to talk with us?
